Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           aten::index         6.91%        1.255s        21.47%        3.900s       2.294ms        1.451s         8.02%        3.892s       2.289ms           0 b           0 b      91.50 Mb     -48.63 Mb          1700  
              Optimizer.step#Adam.step         6.70%        1.216s        21.14%        3.839s      38.391ms        1.224s         6.77%        3.840s      38.399ms        -400 b      -1.95 Kb       2.87 Mb    -286.72 Mb           100  
                         aten::nonzero         9.22%        1.675s        12.36%        2.245s       1.871ms        1.843s        10.18%        2.244s       1.870ms           0 b           0 b      48.78 Mb           0 b          1200  
                           aten::zeros         1.51%     274.583ms         5.39%     979.438ms     816.198us     417.400ms         2.31%     980.491ms     817.076us         800 b           0 b     660.68 Mb           0 b          1200  
                           aten::zero_         3.36%     610.624ms         5.41%     981.921ms     543.699us     610.801ms         3.38%     978.423ms     541.762us           0 b           0 b           0 b           0 b          1806  
                            aten::add_         5.23%     950.690ms         5.23%     950.690ms     454.007us     949.805ms         5.25%     949.805ms     453.584us           0 b           0 b           0 b           0 b          2094  
                          aten::select         4.79%     870.847ms         4.97%     902.909ms     273.609us     908.281ms         5.02%     908.281ms     275.237us           0 b           0 b           0 b           0 b          3300  
                         IndexBackward         0.18%      32.900ms         4.46%     810.850ms       8.108ms      33.021ms         0.18%     811.111ms       8.111ms           0 b           0 b       7.28 Mb           0 b           100  
